parent_site,category_1,category_2,category_3,url_pg_1,url_pg_2
etsy,Bags and Purses,Electronics Cases,Camera Bags & Cases,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/camera-bags-and-cases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/camera-bags-and-cases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Electronics Cases,Phone Cases,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/phone-cases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/phone-cases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Electronics Cases,Laptop Sleeves,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/laptop-sleeves?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/laptop-sleeves?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Electronics Cases,Tablet & E-Reader Cases,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/tablet-and-reader-cases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/electronics-cases/tablet-and-reader-cases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Wallets & Money Clips,Wallets,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/wallets?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/wallets?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Wallets & Money Clips,Business Card Cases,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/business-card-cases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/business-card-cases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Wallets & Money Clips,Money Clips,https://www.etsy.com/c/bags-and-purses/wallets-and-money-clips/money-clips?explicit=1&ref=catcard-196-494003633,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/money-clips?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Wallets & Money Clips,Checkbook Covers,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/checkbook-covers?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/wallets-and-money-clips/checkbook-covers?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Cosmetic & Toiletry Storage,,https://www.etsy.com/c/handmade/bags-and-purses/cosmetic-and-toiletry-storage?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/cosmetic-and-toiletry-storage?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Luggage Tags,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/luggage-tags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/luggage-tags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Passport Covers,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/passport-covers?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/passport-covers?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Duffel Bags,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/duffel-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/duffel-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Overnight Bags,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/overnight-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/overnight-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Suitcases,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/suitcases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/suitcases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Travel Wallets,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/travel-wallets?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/travel-wallets?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Briefcases & Attaches,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/briefcases-and-attaches?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/briefcases-and-attaches?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Garment Bags,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/garment-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/garment-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Luggage & Travel,Train Cases,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/train-cases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/luggage-and-travel/train-cases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Accessory Cases,,https://www.etsy.com/c/handmade/bags-and-purses/accessory-cases?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/accessory-cases?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Food & Insulated Bags,Lunch Bags & Boxes,https://www.etsy.com/c/handmade/bags-and-purses/food-and-insulated-bags/lunch-bags-and-boxes?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/food-and-insulated-bags/lunch-bags-and-boxes?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Food & Insulated Bags,Drink Holders & Cozies,https://www.etsy.com/c/handmade/bags-and-purses/food-and-insulated-bags/drink-holders-and-cozies?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/food-and-insulated-bags/drink-holders-and-cozies?explicit=1&ref=pagination&page=2
